actual,predicted
4.0,3.1661331823643244
4.0,3.699957060693772
4.5,3.8830488174730284
4.0,3.641826001043985
3.0,3.83963346903832
2.0,2.6937039211816036
3.0,3.212776884523717
5.0,4.576587379031271
4.0,4.181638862961663
1.5,2.8652706817041387
3.5,2.9842188240740555
2.5,3.5361208174323315
4.0,3.9554360142129967
3.5,3.5173767393611395
4.5,3.7932127404726232
5.0,4.092768247359994
4.0,4.087947463987129
2.5,3.228123821865007
3.0,3.8403630550476415
1.5,3.368836992417474
4.5,3.102627632884985
4.0,3.3417606453440394
2.5,3.3380589290809515
4.5,4.20176508191588
3.0,3.3715861950940362
4.5,3.9417568229682023
3.0,2.985270198099672
4.5,4.446695256114658
3.5,4.073549180412884
4.5,4.498088344668963
3.0,3.718632506057661
2.0,3.8497492309993047
4.0,3.811716504756627
2.0,2.381152014120534
1.0,3.611903541570141
4.5,4.20549599416905
4.0,3.0785345765984498
3.5,3.6945399767958884
5.0,3.2596898353747634
3.5,3.014566313109602
3.0,2.4652586439087916
4.0,3.9295048385454727
3.0,3.2607084077086665
4.0,4.479640659375846
4.0,4.225634722922255
4.0,2.9657265054047866
4.0,3.9587855436316257
4.0,3.796937458138374
3.0,3.797542476194714
2.0,4.203739662872911
2.0,3.3364425792996535
4.0,2.9426557375619726
5.0,2.695837203373423
3.0,3.928475888018911
3.0,3.009975080700919
3.5,4.482430554506182
4.0,2.9551516451929127
2.0,4.00110247693801
4.0,3.9730469460938562
3.0,2.5264282119304284
2.0,2.925244577393809
1.5,2.350097340835542
2.0,1.8434443386539903
2.0,2.3367999082240836
4.0,4.103104385153569
2.0,2.863702175966465
1.5,2.956785073847214
4.0,3.8415759061848873
4.0,4.00962048073963
3.0,3.821161222061915
4.0,3.0441318579320487
4.0,3.4513191948473376
4.5,4.147121844769544
2.5,3.099530168555653
3.0,2.5552573463814308
3.5,4.181044311354655
3.0,3.253822211373869
3.0,4.0924831674172095
3.5,4.598519547859577
4.0,3.7503389759174466
3.0,3.9669559505232033
3.0,3.214831898789282
3.0,3.396126882039135
3.5,2.9813639335447424
4.0,4.208735687721447
4.0,3.426892515426182
2.5,3.0270520256999927
1.0,3.416397838635732
5.0,4.19358234405225
3.5,3.5841922008728524
4.0,3.512498902186382
5.0,3.461770472032023
1.0,2.1347594231082487
4.0,3.671958993969375
3.0,3.343998074852142
3.0,2.700125233525215
3.0,4.186647594603339
4.0,3.662712401570106
2.0,3.1661255825248045
4.5,4.009405881624981
3.0,2.785925839321358
4.5,3.925101532786639
4.0,4.504255976043076
5.0,4.3884242349667675
1.0,3.0487636115788717
4.5,4.150642213879495
5.0,4.523038042360575
4.0,3.634509678837137
3.0,3.3460879516945714
5.0,4.1946676603392525
3.5,4.15482366928968
4.0,3.4105822217160977
3.0,3.300486840958825
4.0,3.766584424033184
3.5,3.293430700240334
4.0,3.2933225417545913
2.0,2.312728144036307
3.5,3.650545825604778
2.5,3.8379170095916804
2.0,2.539202629948589
4.0,3.5617033526190287
4.0,4.170373277179994
4.5,3.720132538113685
4.5,4.374254258075549
2.0,3.551042323903521
4.5,3.8818638898329247
4.0,3.5855937544770757
4.0,3.250805565851846
5.0,4.089535180653779
2.0,2.588731779598365
4.5,4.142640047339607
3.0,3.2625505377110904
3.0,3.7551819141998384
4.0,3.824420456608909
2.5,2.874959202082316
5.0,4.07450034252209
3.5,3.3675590592849884
4.0,3.971857536579643
4.0,3.5671492382578416
4.5,4.761521327565179
1.5,2.473381364799068
3.5,3.7506089592596314
4.0,4.203685509527267
2.5,2.561964360423111
4.5,3.7748979302021524
4.0,3.8535983063816874
1.5,2.7773973317486877
3.5,3.0149685479357973
5.0,3.5170485087043986
3.0,3.2769474872107662
3.5,3.216149290562359
2.5,2.6995336062328428
2.0,3.610868981084132
0.5,2.5590829799836605
4.0,3.734461953567132
0.5,2.521879750973119
4.0,3.9193473542969413
4.0,3.7418354361966357
4.0,3.8694206553028567
5.0,3.617758425361293
2.5,3.0080894081664593
4.0,3.023019118750228
2.0,2.859782429595509
4.0,3.9119572662584483
3.0,3.80561084583092
3.5,3.4022755933575395
3.5,3.977154620284513
3.5,3.9953288526996125
4.0,3.3939159173994335
2.0,3.4179482639024084
4.0,3.8882379573381556
5.0,4.416712255211143
3.5,2.962475956145748
4.0,3.397349357577237
5.0,4.204564161785803
4.0,4.165760324352121
4.5,3.9081825581314096
3.5,3.630602200457346
4.0,3.2548156659592196
4.5,3.413804295289843
3.0,2.811417683833685
3.0,3.1797253739971976
3.0,3.384813482350465
4.0,3.4559249171258486
1.5,3.2644303376670516
4.5,3.8311924792377043
3.0,3.285077152743813
3.0,3.478811332750126
5.0,3.758816899746387
1.0,2.3177646275802135
4.0,3.6044316875956457
2.0,3.4881252644150464
2.0,2.7425643235525743
3.5,3.322294314601211
2.0,3.239969839554283
3.0,3.2371838835279396
3.5,3.2163775919084907
1.0,2.513792797569221
4.0,3.8290818889858276
0.5,2.752414316252656
5.0,3.0156541118259725
2.0,2.362809207300188
4.5,4.515589671528306
5.0,4.785158427156157
4.5,3.7579930116572138
3.0,3.198581107348549
3.5,4.08910883504143
3.0,3.731488355156016
4.0,4.1687483887882415
4.0,3.464717190650862
5.0,3.727473480662462
3.5,3.3310229099696853
3.0,3.3855159552257286
2.0,4.1487511337229765
5.0,4.415814051518801
4.0,3.995419278425658
4.0,4.405635607356107
1.0,2.770034151178718
3.0,3.226257006368356
3.5,3.2796646056652703
4.0,3.256766931030488
4.0,3.3532248789623584
5.0,4.303509948591809
3.0,2.858944025862685
3.0,3.128971734506973
4.0,3.7411037362753237
4.0,3.1724609452652297
4.5,4.521208697971621
4.0,4.2652047240601965
4.0,4.029878515987976
2.5,3.10338891520304
1.5,3.1648199588414334
4.0,4.392101731543464
4.0,3.7328688041692324
4.5,3.7294528877971307
3.5,3.29635513351701
4.0,3.9170920380912686
3.0,3.24718965924571
5.0,3.9282069443719676
4.0,3.393446626713894
5.0,3.9122728090073737
3.5,3.57720530946409
4.5,3.837392322277217
5.0,3.964141907028462
4.0,3.852850217381416
2.0,3.844403943571544
4.0,3.142711117265179
4.5,4.400825760808041
2.5,3.2230738765420988
3.0,3.3858156453469768
4.0,2.483528953307367
4.0,4.320084422747317
3.0,4.063415526584579
4.0,3.1279867202742975
4.0,3.854170706250405
4.0,3.0244877400588726
3.5,3.435884812501598
3.0,3.6422174769707607
3.5,3.6304407754451367
5.0,4.9321275342823325
4.5,4.230764936059277
4.0,4.06347363228336
1.0,2.7219833243503113
3.0,2.6664030433141304
5.0,4.0590133060994456
4.0,3.544533564873666
3.5,4.08047919216577
3.5,4.132824979126058
4.0,3.879022020989173
5.0,3.3076937128966812
5.0,4.4191556204649665
4.0,3.565799431552618
2.5,2.9575246046559567
2.0,2.734960191608849
5.0,4.460705306783781
3.5,3.702309265800829
4.0,4.006344556952715
3.5,3.6708867387083886
5.0,4.904577539395958
4.0,3.532813190515786
4.5,3.161895135895013
3.5,3.6616680650285427
3.0,3.1640060466331503
2.0,2.7632754766087406
3.0,3.399338917891701
4.0,3.8730372894086416
2.5,2.940379632023153
5.0,4.311070357870447
2.0,3.0582507561155268
4.0,4.129632500848372
4.0,3.6530547910449145
3.0,3.866061693390939
5.0,4.489195626593969
4.0,3.1470265061379923
4.0,4.3647517797894135
2.5,2.9799567663368376
3.0,3.8977351482805096
3.5,3.0208759844641384
1.0,2.352209565116489
1.5,3.177099818225216
1.0,3.3662706625561514
2.0,3.5276563690183043
3.0,2.8238583895881
5.0,4.260977861451078
1.0,2.160056639510346
4.0,3.5527491092322547
4.0,3.3305182586226905
4.0,3.517233158812743
4.0,3.0764608939078286
2.5,2.8718247356436692
5.0,3.693414460901537
2.0,3.0487880158870366
4.0,4.249951859308244
2.0,2.702046810564954
3.0,3.632803135615653
4.5,3.3279235566774554
4.0,4.233575258511578
5.0,4.082715944192953
3.0,2.73158944896125
5.0,3.755761899684113
4.5,3.3296645222619805
4.0,3.5454877772095226
2.0,3.6273898843508237
4.5,3.3192974420499604
4.0,4.1216808032248755
0.5,2.0409230165851513
3.5,3.9242269485807575
4.0,3.4714301600663666
3.5,3.5773017635162656
3.0,3.9281550486076076
4.5,3.02480242858994
4.0,3.5745089954088316
1.0,3.0982777123819147
5.0,3.597750173471814
4.0,4.256037716443555
4.0,3.4551181394326065
2.0,2.5365067360766083
1.0,2.9735446064317386
3.5,3.445323439204341
3.0,4.615302498998882
3.0,3.096868744646538
1.5,3.02185913761973
3.5,2.790950169078268
3.0,3.071768296553764
2.0,3.9558750224936436
3.0,3.092643361006527
4.0,4.088330559945373
4.0,3.0869396926408696
5.0,3.765317237617265
3.5,4.417615905769062
3.5,3.7668851144663646
4.0,3.9748706261411106
4.0,3.0994513286018615
3.0,2.539182517823559
2.5,3.741977662177548
4.0,4.0378029794372425
3.5,3.9600219143776902
4.5,3.6069627354374085
3.0,3.7450646400549243
2.0,2.125448457166396
4.5,4.680118805820616
2.5,2.8673032148148776
3.0,3.705073704405594
3.0,3.6424010908547815
5.0,3.8752554065640195
3.5,4.1419822563628514
4.0,4.466208135812033
4.0,3.9293325123161074
3.0,3.278616007675101
4.0,3.6917910761860955
3.5,4.18015008628278
3.0,4.141440087565895
4.0,4.06738227777391
4.0,3.5670791370288586
1.0,3.0401782133127093
4.0,3.099873427550763
3.5,2.538442850493879
4.0,3.109134127429004
4.0,3.3842327032832076
5.0,4.335869751374867
4.0,3.8393128723222496
4.0,3.308305998838347
4.0,3.4043100273168747
1.0,2.150624296288544
3.0,3.396082072687798
0.5,1.9018176858863085
5.0,3.185991317454327
3.5,3.761144090559043
3.0,3.388943804105924
4.5,3.5100318360340097
3.0,3.1301098288445384
3.0,3.2623271458786927
3.5,3.603485528780015
3.0,2.8368238615589885
2.0,3.4165062468030927
4.0,4.005385320782227
4.0,3.609204762752215
3.5,3.582730984281855
4.0,1.981459902798545
4.5,4.395472104362052
1.5,3.5556534126992796
3.0,3.688429139521782
0.5,2.399932219742044
3.0,2.969995728373833
3.0,3.4003781401492685
3.5,3.815124666332057
3.0,3.2480557298241637
3.0,2.639944109955975
3.5,4.253137567856317
4.0,4.089175544601838
4.0,3.6192721087345188
4.0,3.3044048335594205
2.0,3.6465690948615603
2.5,3.568494910590701
4.0,3.673498775565465
1.0,2.8827645899782324
4.0,4.3180230189374464
3.0,3.425466198413674
4.5,3.5693013871442445
4.0,3.133713692285706
1.0,2.109308833025142
3.0,2.8781485263302025
3.5,3.5624979408049575
3.0,2.817416221572296
2.5,3.5608481101260696
2.0,3.199340509444931
4.0,4.032123943331015
4.0,3.7851156857271624
2.0,2.5612525145494964
4.0,3.977285628484569
3.0,2.5668525900655936
5.0,3.6885952654915397
3.0,3.930167576299376
2.0,2.43078568362293
3.0,3.4413207391328684
2.0,3.460156158832467
4.0,4.072213226180775
5.0,3.8385638997821903
3.0,3.1508467121832386
4.0,3.9975696784613994
5.0,3.7467691262953755
1.0,4.236453810071453
2.5,3.211471445026907
4.5,4.071517432463176
3.0,3.0990765327596934
3.0,3.27305512473136
4.5,3.172067223434674
4.0,3.4436844360320484
1.0,2.923805477553669
4.0,3.833514442138658
5.0,3.9276312803711955
4.0,3.3564543005071696
5.0,3.7924052467087215
4.0,3.227226994462655
3.5,3.3470072008381293
5.0,3.6037128526069804
4.5,3.251614966126194
3.0,2.8325877272743423
4.5,3.4455527549515836
3.0,3.834901275193492
4.0,3.9716929199806645
2.5,3.2685080030951625
4.0,3.9336365941448066
5.0,3.73439569523696
4.0,4.49238360167077
2.0,3.929962925696915
3.0,2.7270834655317016
4.5,3.9431656883601174
2.5,3.1856384191708202
3.0,2.7813818688806613
0.5,2.4216569409066153
4.5,4.115222309800995
3.0,3.4480823661557176
4.0,4.079625432448741
4.0,3.5955700637145735
4.0,3.6794924957717243
2.5,3.864645182809851
5.0,3.9915569957680876
3.5,2.6344116763529164
4.0,3.9321443427104925
3.0,3.5308664428124956
4.0,3.687577447816894
5.0,3.080766946217174
1.0,3.132685986083079
4.0,3.6757347359416856
4.0,3.490956082204214
4.5,4.298327882958299
2.0,3.0212810990988053
4.5,4.003405791505646
3.0,3.2585559789343717
3.0,3.7891000953539886
3.0,3.9029078262516133
0.5,2.322565952850146
2.0,2.8644755544346787
2.5,3.691469812991537
